Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,16/02/2016,16/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/What a Wednesday offer - 25% off on 350 and 100 off on 400,DHH50/TMP25/WBZ100,17/02/2016,17/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,50% off on 300 (11-5pm)/20% off on 350,DHH50/NET07,18/02/2016,18/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,19/02/2016,19/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,20/02/2016,20/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,Garlic bread and dip free on 350,NET09,21/02/2016,21/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,22/02/2016,22/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,23/02/2016,23/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,What a Wednesday offer - 25% off on 350 and 100 off on 400,TMP25/WBZ100,24/02/2016,24/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,25/02/2016,25/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,26/02/2016,26/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,27/02/2016,27/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,100 off on 400,WBZ100,28/02/2016,28/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Dominos - CPS,20% off on 350,NET07,29/02/2016,29/02/2016,http://tracking.payoom.com/aff_c?offer_id=217&aff_id=9070&url=https%3A%2F%2Fpizzaonline.dominos.co.in%2F%3Fsrc%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fkia-fashions-bollywood-replica-heena-khan-red-designer-saree%2F16403874%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbollywood-replica-madhuri-dixit-pista-green-colored-saree%2F14712216%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fdesigner-weightless-printed-cotton-kurtis-combo-pack-of-4-kurtis-combo-k87%2F16906785%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Ffasense-women-6-pcs-set-nightwear-set-nighty-robe-top-barmuda-sleepwear%2F11903257%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fclovia-5-tier-babydoll-in-red--ns0317p04%2F15569805%3Fsc_cid%3Dpayoom
Rediff CPS,lowest price anywhere,,02/02/2016,01/01/1970,http://tracking.payoom.com/aff_c?offer_id=590&aff_id=9070&url=http%3A%2F%2Fshopping.rediff.com%2Fproduct%2Fbuy-1-printed-polar-fleece-jacket-for-women--amp--get-1-plain-polar-fleece-jacket-for-men-free%2F16349634%3Fsc_cid%3Dpayoom
